Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,C1713
"C10(P49)1, C12(P33)1, C13(P23)1, C15(P50)1, C3, C4, C5, C6(P10)1, C7(P1)1, C8(P22)1, C9(P42)1",0402,11,100nF,C1525
"C11(P43n44)1, C14(P45)1",0402,2,1uF,C14445
"C6, C7",0402,2,35pF,C415391
"H1, H2, H3, H4",MountingHole_2.5mm_Pad,4,MountingHole_Pad,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,C429954
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C2691448
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,C2905434
R1,0402,1,1M,C2906900
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R32, R33, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R8, R9",0201,30,1k,C138165
"R2, R3",0402,2,27,C25100
"R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R34, R35, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63",0201,26,499,C166172
"R4, R7",0402,2,10K,C60490
"R5, R6",0402,2,1K,C140196
RP_USB1,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,C319160
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOT-666,1,USBLC6-2P6,C2827693
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U5,SOT-23-5,1,AP2112K-3.3,C51118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
