Designator,Mid X,Mid Y,Rotation,Layer
C1,158.512174,-83.354654,270.0,top
C10(P49)1,153.129341,-96.38916,270.0,bottom
C11(P43n44)1,154.701271,-96.871552,180.0,bottom
C12(P33)1,156.099483,-99.726088,90.0,bottom
C13(P23)1,155.086491,-104.4377,315.0,top
C14(P45)1,156.686665,-94.383775,0.0,top
C15(P50)1,151.089206,-88.57268,135.0,top
C2,161.32136,-89.653873,270.0,top
C3,158.263153,-106.955777,315.0,top
C4,161.598939,-109.161549,90.0,top
C5,141.422061,-87.310397,225.0,top
C6,154.597626,-110.470019,0.0,top
C6(P10)1,152.034308,-99.829796,90.0,bottom
C7,157.276831,-108.192976,270.0,top
C7(P1)1,151.685218,-97.923238,315.0,bottom
C8(P22)1,154.670968,-101.027464,180.0,bottom
C9(P42)1,156.731243,-97.710964,225.0,bottom
J1,163.765323,-80.645,0.0,top
J2,143.673475,-81.510483,270.0,top
J3,147.96,-114.935,270.0,top
J4,167.264,-89.408,270.0,top
R1,157.327362,-80.606118,270.0,top
R10,146.649,-99.949,0.0,top
R11,146.685,-100.965,0.0,top
R12,146.685,-101.981,0.0,top
R13,146.685,-102.997,0.0,top
R14,146.685,-104.013,0.0,top
R15,146.685,-105.029,0.0,top
R16,146.685,-106.045,0.0,top
R17,146.685,-107.061,0.0,top
R18,146.685,-108.077,0.0,top
R19,146.685,-109.093,0.0,top
R2,151.800561,-85.09,90.0,top
R20,145.161,-97.917,0.0,top
R21,145.161,-98.933,180.0,top
R22,145.161,-99.949,180.0,top
R23,145.161,-100.965,180.0,top
R24,145.161,-101.981,180.0,top
R25,145.161,-102.997,180.0,top
R26,145.161,-104.013,180.0,top
R27,145.161,-105.029,180.0,top
R28,145.161,-106.045,180.0,top
R29,145.161,-107.061,180.0,top
R3,153.035,-85.09,90.0,top
R30,145.161,-108.077,180.0,top
R31,145.161,-109.093,180.0,top
R32,146.685,-110.109,0.0,top
R33,146.685,-111.125,0.0,top
R34,145.161,-110.109,180.0,top
R35,145.161,-111.125,180.0,top
R36,163.546,-106.457481,180.0,top
R37,163.546,-105.44148,180.0,top
R38,163.546,-104.425481,180.0,top
R39,163.51,-103.40948,180.0,top
R4,140.140015,-84.584527,90.0,top
R40,163.51,-102.393481,180.0,top
R41,163.51,-101.37748,180.0,top
R42,163.51,-100.361481,180.0,top
R43,163.51,-99.34548,180.0,top
R44,163.51,-98.32948,180.0,top
R45,163.51,-97.31348,180.0,top
R46,163.51,-96.29748,180.0,top
R47,163.51,-95.28148,180.0,top
R48,163.51,-94.26548,180.0,top
R49,163.51,-93.24948,180.0,top
R5,153.163707,-105.520206,90.0,top
R50,165.034,-106.45748,180.0,top
R51,165.034,-105.44148,0.0,top
R52,165.034,-104.42548,0.0,top
R53,165.034,-103.40948,0.0,top
R54,165.034,-102.39348,0.0,top
R55,165.034,-101.37748,0.0,top
R56,165.034,-100.36148,0.0,top
R57,165.034,-99.34548,0.0,top
R58,165.034,-98.32948,0.0,top
R59,165.034,-97.31348,0.0,top
R6,138.887758,-89.335336,90.0,top
R60,165.034,-96.29748,0.0,top
R61,165.034,-95.28148,0.0,top
R62,165.034,-94.26548,0.0,top
R63,165.034,-93.24948,0.0,top
R7,140.603839,-86.427774,45.0,top
R8,146.649,-97.917,0.0,top
R9,146.649,-98.933,0.0,top
RP_USB1,152.115,-79.13,180.0,top
U1,154.050703,-99.0,0.0,top
U3,155.266923,-85.116162,0.0,top
U4,143.96499,-89.984938,45.0,top
U5,158.520588,-87.601856,270.0,top
Y1,154.6149,-108.196724,0.0,top
